ID,CALL,CN,TYPE,HANDICAP
FLRDDDB11,OY-XTH,TH,Cirrus,100
FLRDDAD8C,,AX,LS-4,104
FLRDDDD95,,BC,Jantar,100
FLRDDDD96,,MZ,Jantar,100
FLRDD858D,D-2771,ELY,LS-1f,101
FLRDDB1A6,,M3,Hornet,100
FLRDDBBB2,,CX,Cirrus,100
FLRDDACF7,SE-UXA,A1,Cirrus,100
FLRDD8553,OK-9458,LY,Cirrus,100
FLRDDC27B,PH-495,RSM,Cirrus,100
FLRDDBBB1,,XC,Cirrus,100
FLRDDEEE1,F-COUL,J1,Jantar,100
FLR484C32,PH-1440,AG,Cirrus,100
FLRDF0E1E,OY-XPW,PW,LS-1f,101
FLRDDEF1B,,11,Libelle,98
FLRDD978E,D-4744,96,Cirrus,100
FLRD00087,S5-3055,CE,DG-300,105
FLRDD8424,F-CGVS,T1,Libelle,98
FLRDDD866,OY-TJX,TJ,LS-1f,101
FLRDDF00F,F-CPOL,H1,Hornet,100
FLRDD85CA,,1K,Libelle,98
FLRDF0ED4,,SL,Libelle,98
FLRDDDD8E,LY-VJM,JM,Jantar,100
FLRDDEFEA,LY-GCG,CG,Jantar,100
FLRDDBFEB,LY-GJU,JU,Jantar,100
FLRDD8CEA,G-RIFO,DM,Cirrus,100
FLRDDEE58,SP-3335,BI,Jantar,100
FLRDDE21C,LY-GCO,L,Jantar,100
